CustomerID,CustomerName,OrderID,EmployeeID,OrderDate,ShipperID
62,"Queen Cozinha",10406,7,1997-01-07,1
56,"Ottilies Käseladen",10407,2,1997-01-07,2
23,"Folies gourmandes",10408,8,1997-01-08,1
54,"Océano Atlántico Ltda.",10409,3,1997-01-09,1
10,"Bottom-Dollar Marketse",10410,3,1997-01-10,3
10,"Bottom-Dollar Marketse",10411,9,1997-01-10,3
87,"Wartian Herkku",10412,8,1997-01-13,2
41,"La maison d'Asie",10413,3,1997-01-14,2
21,"Familia Arquibaldo",10414,2,1997-01-14,3
36,"Hungry Coyote Import Store",10415,3,1997-01-15,1
87,"Wartian Herkku",10416,8,1997-01-16,3
73,"Simons bistro",10417,4,1997-01-16,3
63,QUICK-Stop,10418,4,1997-01-17,1
68,"Richter Supermarkt",10419,4,1997-01-20,2
88,"Wellington Importadora",10420,3,1997-01-21,1
61,"Que Delícia",10421,8,1997-01-21,1
27,"Franchi S.p.A.",10422,2,1997-01-22,1
31,"Gourmet Lanchonetes",10423,6,1997-01-23,3
51,"Mère Paillarde",10424,7,1997-01-23,2
41,"La maison d'Asie",10425,6,1997-01-24,2
29,"Galería del gastrónomo",10426,4,1997-01-27,1
59,"Piccolo und mehr",10427,4,1997-01-27,2
66,"Reggiani Caseifici",10428,7,1997-01-28,1
37,"Hungry Owl All-Night Grocers",10429,3,1997-01-29,2
20,"Ernst Handel",10430,4,1997-01-30,1
10,"Bottom-Dollar Marketse",10431,4,1997-01-30,2
75,"Split Rail Beer & Ale",10432,3,1997-01-31,2
60,"Princesa Isabel Vinhoss",10433,3,1997-02-03,3
24,"Folk och fä HB",10434,3,1997-02-03,2
16,"Consolidated Holdings",10435,8,1997-02-04,2
7,"Blondel père et fils",10436,3,1997-02-05,2
87,"Wartian Herkku",10437,8,1997-02-05,1
79,"Toms Spezialitäten",10438,3,1997-02-06,2
51,"Mère Paillarde",10439,6,1997-02-07,3
71,"Save-a-lot Markets",10440,4,1997-02-10,2
55,"Old World Delicatessen",10441,3,1997-02-10,2
20,"Ernst Handel",10442,3,1997-02-11,2
66,"Reggiani Caseifici",10443,8,1997-02-12,1
